H1;1.6073E-5;5.5423E-6;3.3377E-5;1.1412E-5;3.6525E-5;1.2595E-5;1.711E-5;2.9483E-6;3.3377E-5;1.1412E-5;2.3537E-5;8.116E-6;3.2586E-5;1.1434E-5;2.9422E-5;1.0448E-5;3.8281E-5;1.3553E-5;4.08E-5;7.0527E-6;4.3989E-5;1.5168E-5;2.9422E-5;1.0059E-5;3.7495E-5;1.2929E-5;3.749E-5;1.2836E-5;2.8789E-5;9.9412E-6;4.0811E-5;1.447E-5;3.8281E-5;1.3553E-5;3.6066E-5;1.2526E-5
H2;4.9121E-6;1.6564E-6;8.466E-6;2.2832E-6;1.1162E-5;3.764E-6;8.4E-6;2.4389E-6;8.466E-6;2.8627E-6;7.1932E-6;2.4257E-6;9.9585E-6;3.4241E-6;8.9917E-6;3.1275E-6;1.1699E-5;4.0573E-6;1.347E-5;2.8929E-6;1.3443E-5;4.5332E-6;8.9917E-6;3.0079E-6;1.1459E-5;3.8642E-6;1.1457E-5;3.8377E-6;8.7983E-6;2.971E-6;1.2472E-5;4.3317E-6;1.1699E-5;4.0573E-6;1.1022E-5;3.7423E-6
H3;7.0081E-5;2.2139E-5;1.14E-4;2.2627E-5;1.5925E-4;5.0309E-5;1.08E-4;5.8635E-6;1.14E-4;3.4566E-5;1.0262E-4;3.2419E-5;1.25E-4;3.908E-5;1.25E-4;3.908E-5;1.44E-4;4.5186E-5;1.42E-4;1.0885E-5;1.9179E-4;6.0589E-5;1.41E-4;2.0785E-5;1.6348E-4;5.1645E-5;1.65E-4;5.0513E-5;1.57E-4;4.9129E-5;1.96E-4;6.1503E-5;1.91E-4;5.9768E-5;1.85E-4;5.6392E-5
He3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
He4;0.0010161;3.1047E-4;0.00211;1.2274E-4;0.002309;7.0553E-4;0.0017;8.1347E-5;0.00211;6.3806E-4;0.001488;4.5467E-4;0.00206;6.4346E-4;0.00186;5.8937E-4;0.00242;7.6451E-4;0.00219;1.1783E-4;0.0027809;8.4972E-4;0.00186;2.0234E-4;0.0023703;7.2426E-4;0.00237;7.1793E-4;0.00182;5.5681E-4;0.00258;8.1669E-4;0.00242;7.6451E-4;0.00228;7.0237E-4
He6;;;2.153E-5;5.9269E-6;;;2.668E-5;4.8784E-6;;;;;;;;;;;4.098E-5;5.2621E-6;;;;;;;;;;;;;;;;
He8;;;3.717E-7;1.0025E-7;;;;;;;;;;;;;;;6.87E-7;1.0996E-7;;;;;;;;;;;;;;;;
Li6;;;0.0;0.0;;;0.0;0.0;;;;;;;;;;;0.0;0.0;;;;;;;;;;;;;;;;
Li7;;;7.64E-7;2.0605E-7;;;;;;;;;;;;;;;1.4E-6;2.4201E-7;;;;;;;;;;;;;;;;
Li8;;;3.717E-7;1.0025E-7;;;7.292E-7;2.368E-7;;;;;;;;;;;0.0;0.0;;;;;;;;;;;;;;;;
Li9;;;7.434E-7;2.0049E-7;;;4.071E-7;1.0491E-7;;;;;;;;;;;1.14E-6;1.9706E-7;;;;;;;;;;;;;;;;
Be6;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;;;;;;;;;;
Be8;;;0.0;0.0;;;7.292E-7;1.6507E-7;;;;;;;;;;;0.0;0.0;;;;;;;;;;;;;;;;
Be9;;;7.434E-7;2.3181E-7;;;4.071E-7;1.6535E-7;;;;;;;;;;;1.14E-6;2.1028E-7;;;;;;;;;;;;;;;;
Be10;;;8.88E-6;9.1965E-6;;;5.201E-6;9.0853E-7;;;;;;;;;;;1.05E-5;1.815E-6;;;;;;;;;;;;;;;;
Be11;;;;;;;;;;;;;;;;;;;7.52E-7;2.0095E-7;;;;;;;;;;;;;;;;
Be12;;;;;;;1.261E-7;4.4982E-8;;;;;;;;;;;4.73E-7;1.5903E-7;;;;;;;;;;;;;;;;
B9;;;;;;;4.071E-7;1.1018E-7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B10;;;;;;;5.201E-6;8.9948E-7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B11;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;;;;;;;;;;
B12;;;;;;;1.261E-7;5.5747E-8;;;;;;;;;;;0.0;0.0;;;;;;;;;;;;;;;;
C8;;;;;;;;;;;;;;;;;;;6.87E-7;1.1876E-7;;;;;;;;;;;;;;;;
C12;;;;;;;0.0;0.0;;;;;;;;;;;0.0;0.0;;;;;;;;;;;;;;;;
C14;;;;;;;1.578E-6;1.6342E-6;;;;;;;;;;;3.01E-6;3.0338E-6;;;;;;;;;;;;;;;;
C15;;;;;;;2.528E-7;2.5523E-7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N15;;;;;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ne21;;;;;;;2.146E-6;2.2368E-6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
K50;;;;;;;;;;;;;;;;;;;;;;;;;;;1.9748E-12;2.094E-12;;;1.2844E-11;1.3981E-11;2.3448E-12;2.489E-12;1.1845E-12;1.2669E-12
K51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.1728E-12;4.5421E-12;1.0658E-12;1.1308E-12;;
Ca49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;
Ca50;;;;;;;;;;;;;;;3.0696E-12;2.2044E-12;;;1.1166E-12;1.1259E-12;;;;;;;1.8261E-11;1.8442E-11;1.0422E-12;1.0458E-12;1.8323E-10;1.8946E-10;2.5283E-11;2.54E-11;8.4166E-12;8.5378E-12
