Product;;
Product;;
Product;Yield;Error
As81;6.0131E-4;3.9025E-4
As82;0.0012178;5.5278E-4
As82m;2.8677E-4;1.7519E-4
As83;0.0018425;8.0227E-4
As84;8.3371E-4;6.5968E-4
As84m;8.3371E-4;6.5968E-4
As85;0.0018103;5.051E-4
As86;8.3585E-4;2.6022E-4
As87;4.1835E-4;1.3951E-4
As88;7.951E-5;2.799E-5
As89;2.3402E-5;8.8617E-6
As90;1.5383E-6;6.3356E-7
Se76;1.9119E-11;2.8039E-11
Se77;3.0648E-5;4.9955E-6
Se78;5.0634E-5;3.251E-5
Se79;1.5293E-4;9.2063E-5
Se79m;1.4939E-4;8.9943E-5
Se80;2.6739E-4;2.2274E-4
Se81;6.0529E-4;3.9102E-4
Se81m;2.5108E-5;1.8929E-5
Se82;0.0016212;7.1981E-4
Se83;0.0011518;5.1975E-4
Se83m;0.0012785;5.7383E-4
Se84;0.0044167;0.002932
Se85;0.0074804;0.0011772
Se86;0.0093182;6.915E-4
Se87;0.008677;8.1855E-4
Se88;0.0054513;0.0011986
Se89;0.0026464;9.5909E-4
Se90;7.9999E-4;3.324E-4
Se91;1.8993E-4;7.1813E-5
Se92;2.9534E-5;1.0088E-5
Se93;3.0449E-9;1.074E-9
Br79;8.3657E-8;6.0479E-8
Br81;6.053E-4;3.9102E-4
Br82;4.9567E-8;3.0737E-8
Br82m;1.339E-8;9.5011E-9
Br83;0.0024327;0.0010307
Br84;0.0044307;0.002932
Br84m;1.3947E-5;1.3152E-5
Br85;0.0079972;0.0012557
Br86;0.011017;7.9446E-4
Br87;0.014744;8.4E-4
Br88;0.014252;0.0010579
Br89;0.012502;0.0016218
Br90;0.0061892;0.0017022
Br91;0.0044533;0.0014805
Br92;0.0014051;4.6349E-4
Br93;5.0905E-4;1.8026E-4
Br94;4.87E-5;1.8633E-5
Br95;8.6713E-6;3.3655E-6
Kr82;4.9888E-8;3.0839E-8
Kr83;0.0024327;0.0010307
Kr83m;0.0024305;0.0010307
Kr84;0.0044446;0.002932
Kr85;0.0017342;3.1985E-4
Kr85m;0.0079866;0.0012541
Kr86;0.011659;8.28E-4
Kr87;0.016582;8.9656E-4
Kr88;0.022206;0.0010645
Kr89;0.029737;8.0948E-4
Kr90;0.030643;0.0013905
Kr91;0.034501;0.0013056
Kr92;0.025756;0.0017606
Kr93;0.013018;0.0029956
Kr94;0.0056315;0.0020479
Kr95;0.0016339;6.314E-4
Kr96;4.8146E-4;1.9149E-4
Kr97;4.3295E-5;1.5367E-5
Kr98;6.7884E-6;2.3986E-6
Rb85;0.0080117;0.0012579
Rb86;2.9825E-9;8.6134E-10
Rb86m;2.0198E-9;7.6689E-10
Rb87;0.016587;8.9656E-4
Rb88;0.022248;0.0010645
Rb89;0.030181;8.1656E-4
Rb90;0.026885;0.0012912
Rb90m;0.0051766;5.4974E-4
Rb91;0.0415;0.0013731
Rb92;0.039654;0.001529
Rb93;0.039384;0.0022654
Rb94;0.021501;0.0029215
Rb95;0.013797;0.0030144
Rb96;0.004981;0.0012887
Rb96m;0.0033207;0.0011776
Rb97;0.0029579;9.9681E-4
Rb98;3.0076E-4;1.0629E-4
Rb98m;3.0707E-4;1.0636E-4
Rb99;1.5597E-4;5.5844E-5
Rb100;6.026E-6;2.3322E-6
Rb101;9.7992E-7;3.6429E-7
Sr86;2.9823E-9;8.613E-10
Sr88;0.022248;0.0010645
Sr89;0.030192;8.1678E-4
Sr90;0.032025;0.0014419
Sr91;0.042101;0.00139
Sr92;0.044002;0.0016121
Sr93;0.052989;0.0023274
Sr94;0.049996;0.0020082
Sr95;0.049877;8.6876E-4
Sr96;0.053173;0.0025636
Sr97;0.033967;0.0020347
Sr98;0.021124;0.0032741
Sr99;0.0085316;0.0024308
Sr100;0.0029371;0.0010792
Sr101;5.9847E-4;2.2013E-4
Sr102;1.1078E-4;4.7589E-5
Sr103;4.1826E-6;1.4583E-6
Y89;0.030192;8.1678E-4
Y89m;2.9102E-6;3.4641E-7
Y90;0.032025;0.0014419
Y91;0.042101;0.0013897
Y91m;0.024771;0.001271
Y92;0.044006;0.0016121
Y93;0.053085;0.0023274
Y93m;0.013345;0.001351
Y94;0.050468;0.0020227
Y95;0.052397;8.414E-4
Y96;0.055339;0.0026332
Y96m;0.0045334;0.001438
Y97;0.032262;0.0018885
Y97m;0.020235;0.0018927
Y97n;0.0040928;8.6487E-4
Y98;0.025121;0.0030861
Y98m;0.019376;0.0028733
Y99;0.036825;0.002565
Y100;0.011077;0.0023001
Y100m;0.0081631;0.002159
Y101;0.011545;0.0029593
Y102;0.0019295;7.7752E-4
Y102m;0.0019295;7.7752E-4
Y103;0.0013341;4.5018E-4
Y104;1.4648E-4;6.739E-5
Y105;2.7175E-5;9.9727E-6
Y106;1.6691E-9;6.4015E-10
Zr90;0.032025;0.0014419
Zr91;0.042101;0.0013897
Zr92;0.044006;0.0016121
Zr93;0.053087;0.0023274
Zr94;0.050482;0.0020231
Zr95;0.052506;8.4221E-4
Zr96;0.060751;0.002851
Zr97;0.057264;7.4444E-4
Zr98;0.057841;0.0030657
