Product;;
Product;;
Product;Yield;Error
Ga81;4.3416E-5;1.2542E-5
Ga82;1.5706E-5;5.1781E-6
Ga83;4.8588E-7;1.9368E-7
Ga84;1.4445E-8;6.5225E-9
Ga85;4.7349E-10;1.8574E-10
Ge72;4.8162E-7;4.8256E-7
Ge73;1.0077E-6;1.8944E-7
Ge73m;9.9285E-7;1.8667E-7
Ge74;3.4427E-6;5.2745E-7
Ge75;8.3082E-6;8.3083E-7
Ge75m;7.6384E-7;1.7147E-7
Ge76;4.7647E-5;7.8141E-6
Ge77;3.864E-5;4.9132E-6
Ge77m;5.6752E-5;5.3827E-6
Ge78;2.0274E-4;9.7342E-6
Ge79;1.7163E-4;2.0869E-5
Ge79m;2.876E-4;2.6856E-5
Ge80;0.0010162;6.0487E-5
Ge81;8.6912E-4;9.8754E-5
Ge81m;2.1513E-4;3.2892E-5
Ge82;7.7596E-4;1.8003E-4
Ge83;3.2573E-4;1.4087E-4
Ge84;1.1412E-4;5.5066E-5
Ge85;3.2159E-5;1.2803E-5
Ge86;8.665E-6;3.0056E-6
Ge87;7.6601E-9;2.7396E-9
As75;8.3085E-6;8.3085E-7
As75m;2.4003E-10;5.6251E-11
As76;2.3177E-9;9.5819E-10
As77;8.4743E-5;6.6945E-6
As78;2.0481E-4;9.8208E-6
As79;4.6987E-4;3.759E-5
As80;0.001241;7.0749E-5
As81;0.0017667;1.2674E-4
As82;0.0011357;1.6834E-4
As82m;0.0010855;1.4772E-4
As83;0.0020993;3.1681E-4
As84;5.7945E-4;2.3253E-4
As84m;5.7945E-4;2.3253E-4
As85;8.6304E-4;3.3065E-4
As86;3.9054E-4;1.3547E-4
As87;1.3913E-4;5.0611E-5
As88;1.567E-5;6.0745E-6
As89;2.0663E-6;8.0712E-7
As90;2.5179E-9;9.6387E-10
Se76;2.3177E-9;9.5819E-10
Se77;8.4743E-5;6.6945E-6
Se77m;1.2273E-11;4.4194E-12
Se78;2.0482E-4;9.8208E-6
Se79;4.7133E-4;3.7706E-5
Se79m;4.5897E-4;3.6735E-5
Se80;0.0012591;7.1478E-5
Se81;0.001931;1.371E-4
Se81m;2.0608E-4;4.1449E-5
Se82;0.0032236;1.8697E-4
Se83;0.0034829;2.1016E-4
Se83m;0.0019748;2.2499E-4
Se84;0.0097357;2.4388E-4
Se85;0.010547;2.3385E-4
Se86;0.010153;8.0523E-4
Se87;0.0055641;0.0013353
Se88;0.0027162;0.0010223
Se89;7.8557E-4;3.1001E-4
Se90;2.1813E-4;8.3944E-5
Se91;1.7631E-5;6.2168E-6
Se92;2.022E-6;7.0375E-7
Br79;2.5705E-7;3.1099E-8
Br79m;1.5658E-11;5.3599E-12
Br80;1.4586E-9;3.6868E-10
Br80m;1.0956E-9;3.4662E-10
Br81;0.0019313;1.3712E-4
Br82;2.7016E-6;7.2811E-7
Br82m;8.1415E-7;2.8434E-7
Br83;0.0055294;2.1512E-4
Br84;0.0099217;2.4805E-4
Br84m;1.8606E-4;7.7565E-5
Br85;0.013038;1.4534E-4
Br86;0.017291;3.3791E-4
Br87;0.018358;8.0183E-4
Br88;0.013775;0.0018764
Br89;0.010384;0.0024386
Br90;0.004874;0.001609
Br91;0.0020269;6.8804E-4
Br92;3.0464E-4;1.0497E-4
Br93;6.2514E-5;2.2504E-5
Br94;3.4704E-6;1.3122E-6
Br95;7.2593E-9;2.6978E-9
Kr80;1.3375E-9;3.3808E-10
Kr82;2.7218E-6;7.2839E-7
Kr83;0.0055294;2.1512E-4
Kr83m;0.0055245;2.1512E-4
Kr84;0.010137;2.489E-4
Kr85;0.002965;2.1393E-4
Kr85m;0.013052;1.4529E-4
Kr86;0.019994;2.3568E-4
Kr87;0.025727;3.549E-4
Kr88;0.034955;7.9994E-4
Kr89;0.044367;6.9101E-4
Kr90;0.047174;0.0013084
Kr91;0.032571;0.0022284
Kr92;0.017607;0.0031307
Kr93;0.0061623;0.001905
Kr94;0.0018016;6.5765E-4
Kr95;2.7009E-4;9.9913E-5
Kr96;4.1898E-5;1.5137E-5
Kr97;4.3988E-6;1.5429E-6
Kr98;8.2286E-7;2.8852E-7
Rb85;0.013224;1.4555E-4
Rb86;2.1763E-6;5.5315E-7
Rb86m;1.3987E-6;4.8323E-7
Rb87;0.025813;3.549E-4
Rb88;0.035344;7.9994E-4
Rb89;0.047163;6.6167E-4
Rb90;0.042218;0.001353
Rb90m;0.01377;0.001916
Rb91;0.054146;6.8873E-4
Rb92;0.043714;0.0018615
Rb93;0.033297;0.0027665
Rb94;0.015949;0.0032872
Rb95;0.0084877;0.0024159
Rb96;0.0016129;4.0785E-4
Rb96m;0.0010753;3.6776E-4
Rb97;5.8949E-4;2.0197E-4
Rb98;2.9209E-5;1.0229E-5
Rb98m;2.9974E-5;1.0233E-5
Rb99;6.56E-6;2.3678E-6
Rb100;6.7127E-9;2.5522E-9
Sr86;2.1762E-6;5.5312E-7
Sr87;1.7667E-9;5.2715E-10
Sr87m;3.3197E-10;1.1873E-10
Sr88;0.035358;7.9994E-4
Sr89;0.047288;6.6275E-4
Sr90;0.056759;0.0013068
Sr91;0.058463;4.6929E-4
Sr92;0.060284;5.4E-4
Sr93;0.063492;6.9685E-4
Sr94;0.061129;7.6864E-4
