Product;;
Product;;
Product;Yield;Error
Zn69;2.6553E-7;2.6659E-7
Zn69m;3.2183E-10;4.7073E-10
Zn70;4.9746E-7;5.0144E-7
Zn71;1.0695E-6;7.6633E-7
Zn71m;6.1905E-8;6.3998E-8
Zn72;1.1341E-6;1.7012E-7
Zn73;2.9868E-6;1.9924E-6
Zn73m;9.3588E-7;7.2352E-7
Zn73n;1.3834E-6;1.0926E-6
Zn74;1.1291E-5;1.0867E-5
Zn75;8.1788E-6;6.7999E-6
Zn76;1.6352E-5;1.4262E-5
Zn77;1.1418E-5;3.3253E-6
Zn77m;1.6137E-6;5.6488E-7
Zn78;1.8919E-5;6.8525E-6
Zn79;5.3212E-7;2.9734E-6
Zn80;2.6159E-6;1.1426E-6
Zn81;9.616E-9;3.7417E-9
Zn82;3.8304E-10;1.4351E-10
Ga69;2.6553E-7;2.6659E-7
Ga70;7.0531E-12;1.0367E-11
Ga71;1.1318E-6;8.1038E-7
Ga72;1.138E-6;1.707E-7
Ga72m;3.8188E-8;8.4518E-9
Ga73;3.8146E-6;2.5176E-6
Ga74;9.6242E-6;9.3618E-6
Ga74m;1.1952E-5;1.1471E-5
Ga75;1.1898E-5;9.5304E-6
Ga76;2.4934E-5;2.0725E-5
Ga77;5.2493E-5;7.0683E-6
Ga78;9.4496E-5;1.9723E-5
Ga79;2.9575E-5;1.5859E-4
Ga80;5.9934E-5;2.35E-5
Ga81;2.1554E-5;8.2207E-6
Ga82;1.8252E-6;6.8294E-7
Ga83;1.1624E-7;4.5113E-8
Ga84;4.1113E-9;1.8128E-9
Ga85;1.855E-10;7.0717E-11
Ge70;7.0242E-12;1.0325E-11
Ge72;1.138E-6;1.707E-7
Ge73;3.8149E-6;2.5178E-6
Ge73m;3.7586E-6;2.4808E-6
Ge74;1.2635E-5;1.2093E-5
Ge75;1.205E-5;9.6517E-6
Ge75m;6.0779E-7;5.5415E-7
Ge76;2.7274E-5;2.2638E-5
Ge77;3.0894E-5;5.2875E-6
Ge77m;5.5601E-5;7.286E-6
Ge78;2.7799E-4;3.1434E-5
Ge79;4.5207E-5;2.3488E-4
Ge79m;8.1447E-5;4.1903E-4
Ge80;8.4412E-4;1.3675E-4
Ge81;5.1145E-4;9.5409E-5
Ge81m;1.2476E-4;2.8267E-5
Ge82;4.1765E-4;1.0748E-4
Ge83;1.0254E-4;3.8433E-5
Ge84;3.5078E-5;1.5502E-5
Ge85;5.1644E-6;1.9698E-6
Ge86;7.297E-8;2.5332E-8
Ge87;1.6029E-9;5.8684E-10
As74;4.4383E-12;6.0424E-12
As75;1.205E-5;9.652E-6
As75m;3.5267E-10;3.2726E-10
As76;8.1292E-9;9.4492E-9
As77;7.6311E-5;9.3861E-6
As78;2.8431E-4;3.2128E-5
As79;1.3431E-4;6.8589E-4
As80;0.0010249;1.6402E-4
As81;0.0013217;1.5356E-4
As82;6.218E-4;1.0804E-4
As82m;6.1607E-4;1.0966E-4
As83;9.7251E-4;1.7518E-4
As84;2.5951E-4;1.0421E-4
As84m;2.5951E-4;1.0421E-4
As85;2.9461E-4;1.0932E-4
As86;5.5278E-5;1.9244E-5
As87;1.3784E-5;5.0584E-6
As88;4.0992E-7;1.6211E-7
As89;2.2992E-8;8.7455E-9
As90;5.0436E-10;1.8276E-10
Se74;1.509E-12;2.0544E-12
Se76;8.1313E-9;9.4504E-9
Se77;7.6311E-5;9.3861E-6
Se77m;1.7717E-10;7.0037E-11
Se78;2.8642E-4;3.2363E-5
Se79;1.344E-4;6.864E-4
Se79m;1.3115E-4;6.6977E-4
Se80;0.0010593;1.6912E-4
Se81;0.0014954;1.7197E-4
Se81m;1.9822E-4;4.8675E-5
Se82;0.0020341;1.729E-4
Se83;0.0018789;1.3418E-4
Se83m;9.7617E-4;1.2401E-4
Se84;0.0044747;4.3055E-4
Se85;0.0036927;3.1003E-4
Se86;0.0027357;4.0249E-4
Se87;0.0012828;3.9283E-4
Se88;4.9923E-4;1.9531E-4
Se89;1.1581E-4;4.4156E-5
Se90;2.5077E-5;9.0964E-6
Se91;1.8302E-6;6.481E-7
Se92;6.7842E-9;2.4443E-9
Br79;7.3503E-8;3.8326E-7
Br79m;4.6238E-11;2.5858E-10
Br80;1.3534E-8;4.875E-9
Br80m;1.0165E-8;4.4536E-9
Br81;0.0014961;1.7205E-4
Br82;7.2652E-6;2.1033E-6
Br82m;2.1895E-6;8.1584E-7
Br83;0.0029414;1.6464E-4
Br84;0.0046747;4.4897E-4
Br84m;2.0002E-4;7.6426E-5
Br85;0.0055875;3.697E-4
Br86;0.0061245;2.1997E-4
Br87;0.0060116;4.3116E-4
Br88;0.003728;7.3873E-4
Br89;0.0026807;7.5632E-4
Br90;0.0011347;3.8227E-4
Br91;3.8108E-4;1.3348E-4
Br92;6.3488E-5;2.2883E-5
Br93;1.1582E-5;4.2884E-6
Br94;9.0197E-7;3.4586E-7
Br95;1.5598E-9;5.6554E-10
Kr80;1.2411E-8;4.4704E-9
Kr81;8.4351E-11;2.9175E-11
Kr81m;1.1185E-11;4.3524E-12
Kr82;7.3245E-6;2.1048E-6
Kr83;0.0029444;1.6464E-4
Kr83m;0.0029394;1.646E-4
Kr84;0.0048982;4.6435E-4
Kr85;0.0013456;1.5073E-4
Kr85m;0.0056099;3.7099E-4
Kr86;0.0077437;1.6753E-4
Kr87;0.0098513;3.2492E-4
Kr88;0.01303;4.5686E-4
Kr89;0.014796;3.0571E-4
Kr90;0.014086;6.8893E-4
Kr91;0.0083276;0.0012945
Kr92;0.0046191;0.0012971
Kr93;0.0015745;5.6248E-4
Kr94;4.421E-4;1.6881E-4
Kr95;5.5227E-5;2.002E-5
Kr96;6.6205E-6;2.3388E-6
Kr97;9.2118E-7;3.3038E-7
Rb84;1.3704E-9;4.532E-10
Rb84m;8.8076E-10;3.8836E-10
Rb85;0.0057551;3.7987E-4
Rb86;5.9785E-6;1.5258E-6
Rb86m;3.8424E-6;1.3317E-6
Rb87;0.0099467;3.2492E-4
Rb88;0.01339;4.648E-4
Rb89;0.017007;2.56E-4
Rb90;0.012995;6.7768E-4
Rb90m;0.0069177;9.1339E-4
Rb91;0.02073;5.0469E-4
Rb92;0.017957;0.0013016
Rb93;0.014694;0.001998
Rb94;0.0070893;0.0019345
Rb95;0.0035522;0.0011431
Rb96;5.7118E-4;1.4701E-4
Rb96m;3.8078E-4;1.3194E-4
Rb97;1.8745E-4;6.6645E-5
Rb98;8.877E-6;3.1792E-6
Rb98m;8.877E-6;3.1792E-6
Rb99;3.786E-6;1.3603E-6
Rb100;1.521E-9;5.5433E-10
Sr84;4.3853E-11;1.4502E-11
Sr86;5.9788E-6;1.5257E-6
Sr87;1.0652E-6;3.2571E-7
Sr87m;2.0016E-7;7.3263E-8
Sr88;0.013408;4.648E-4
Sr89;0.017121;2.5703E-4
Sr90;0.020768;5.8182E-4
Sr91;0.024279;3.1579E-4
Sr92;0.030766;3.9996E-4
Sr93;0.037683;5.447E-4
Sr94;0.039676;7.1423E-4
Sr95;0.032022;0.0015219
Sr96;0.021142;0.0023934
Sr97;0.0085886;0.0021855
Sr98;0.0029841;9.6174E-4
Sr99;6.6573E-4;2.3356E-4
Sr100;1.3159E-4;4.7787E-5
Sr101;8.7309E-6;3.0482E-6
Sr102;2.0398E-8;7.0243E-9
Y89;0.017122;2.5704E-4
Y89m;2.4021E-6;3.2907E-7
Y90;0.02077;5.8187E-4
Y90m;1.0931E-6;3.9602E-7
Y91;0.024308;3.1604E-4
Y91m;0.014308;7.6327E-4
Y92;0.030956;4.0001E-4
Y93;0.039314;5.4376E-4
Y93m;0.010844;9.0907E-4
Y94;0.04423;6.2338E-4
Y95;0.047089;5.6459E-4
Y96;0.028696;0.0018967
Y96m;0.013587;0.0019659
Y97;0.0129;0.0018066
Y97m;0.023751;0.0017017
Y97n;0.0049705;7.2144E-4
Y98;0.0066467;0.001162
Y98m;0.015403;0.0025455
Y99;0.015003;0.0029189
Y100;0.0025725;7.889E-4
Y100m;0.002442;7.8909E-4
Y101;0.0016406;5.3926E-4
Y102;1.4066E-4;4.8093E-5
Y102m;1.4066E-4;4.8093E-5
Y103;4.6666E-5;1.637E-5
Y104;6.8047E-6;2.4109E-6
Y105;1.851E-9;6.3588E-10
Zr90;0.02077;5.8187E-4
