Product;Th227  Thermal (0.0253 eV);Th227  Thermal (0.0253 eV);Th229  Thermal (0.0253 eV);Th229  Thermal (0.0253 eV);Th232  Fast (500 keV);Th232  Fast (500 keV);Pa231  Fast (500 keV);Pa231  Fast (500 keV);U232  Thermal (0.0253 eV);U232  Thermal (0.0253 eV);U233  Thermal (0.0253 eV);U233  Thermal (0.0253 eV);U234  Fast (500 keV);U234  Fast (500 keV);U235  Thermal (0.0253 eV);U235  Thermal (0.0253 eV);U236  Fast (500 keV);U236  Fast (500 keV);U237  Fast (500 keV);U237  Fast (500 keV);U238  Fast (500 keV);U238  Fast (500 keV);Np237  Fast (500 keV);Np237  Fast (500 keV);Np238  Fast (500 keV);Np238  Fast (500 keV);Pu238  Fast (500 keV);Pu238  Fast (500 keV);Pu239  Thermal (0.0253 eV);Pu239  Thermal (0.0253 eV);Pu240  Thermal (0.0253 eV);Pu240  Thermal (0.0253 eV);Pu241  Thermal (0.0253 eV);Pu241  Thermal (0.0253 eV);Pu242  Thermal (0.0253 eV);Pu242  Thermal (0.0253 eV);Am241  Thermal (0.0253 eV);Am241  Thermal (0.0253 eV);Am242m  Thermal (0.0253 eV);Am242m  Thermal (0.0253 eV);Am243  Fast (500 keV);Am243  Fast (500 keV);Cm242  Fast (500 keV);Cm242  Fast (500 keV);Cm243  Thermal (0.0253 eV);Cm243  Thermal (0.0253 eV);Cm244  Fast (500 keV);Cm244  Fast (500 keV);Cm245  Thermal (0.0253 eV);Cm245  Thermal (0.0253 eV);Cm246  Fast (500 keV);Cm246  Fast (500 keV);Cm248  Fast (500 keV);Cm248  Fast (500 keV);Cf249  Thermal (0.0253 eV);Cf249  Thermal (0.0253 eV);Cf251  Thermal (0.0253 eV);Cf251  Thermal (0.0253 eV);Fm255  Thermal (0.0253 eV);Fm255  Thermal (0.0253 eV)
Product;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error
Cr69;;;7.25255E-19;4.64163E-19;1.49819E-14;9.58843E-15;7.14501E-16;4.57281E-16;2.22213E-14;1.42216E-14;1.01806E-17;6.51557E-18;8.36953E-17;5.3565E-17;2.10819E-18;1.34924E-18;4.39974E-17;2.81584E-17;5.4936E-17;3.51591E-17;6.89185E-14;4.41079E-14;;;3.92061E-18;2.50919E-18;5.10836E-17;3.26935E-17;1.90141E-18;1.2169E-18;6.25578E-18;4.0037E-18;5.81495E-19;3.72157E-19;5.0096E-18;3.20614E-18;;;1.03826E-16;6.64486E-17;1.33461E-16;8.54153E-17;1.24745E-17;7.98365E-18;2.92717E-16;1.87339E-16;1.37704E-16;8.81304E-17;6.12332E-17;3.91892E-17;4.15769E-16;2.66092E-16;6.24778E-16;3.99858E-16;;;4.72744E-15;3.02556E-15;1.25099E-17;8.00633E-18
Cr70;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Cr71;;;;;2.78272E-18;1.78094E-18;;;;;;;;;;;;;;;1.15325E-17;7.38079E-18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.17193E-18;3.31004E-18;;;;;;
Mn66;6.97001E-13;4.4608E-13;1.20001E-12;7.68004E-13;5.14988E-10;3.29593E-10;6.39E-9;4.0896E-9;1.69024E-7;1.08175E-7;9.66976E-12;6.18864E-12;1.93E-10;1.2352E-10;7.19949E-12;4.60767E-12;1.34007E-10;8.57643E-11;9.84011E-11;6.29767E-11;2.02001E-9;1.29281E-9;2.23E-11;1.4272E-11;1.13E-11;7.232E-12;6.88E-11;4.4032E-11;3.68995E-12;2.36157E-12;1.04E-11;6.656E-12;3.26E-12;2.0864E-12;9.39E-12;6.0096E-12;3.69001E-12;2.36161E-12;5.15E-10;3.296E-10;5.16E-11;3.3024E-11;1.62E-11;1.0368E-11;1.52E-10;9.72801E-11;2.44E-10;1.5616E-10;7.74001E-11;4.95361E-11;4.61E-10;2.9504E-10;5.36E-10;3.4304E-10;1.0398E-12;6.6547E-13;7.99202E-9;5.11489E-9;1.66E-9;1.0624E-9
Mn67;1.35E-13;8.64001E-14;5.00003E-13;3.20002E-13;3.81991E-10;2.44474E-10;1.34E-9;8.576E-10;2.46034E-8;1.57462E-8;5.57986E-12;3.57111E-12;5.98E-11;3.8272E-11;5.37962E-12;3.44296E-12;5.9603E-11;3.81459E-11;6.19007E-11;3.96165E-11;2.67002E-9;1.70881E-9;6.36E-12;4.0704E-12;5.25E-12;3.36E-12;1.45E-11;9.28E-12;7.57991E-13;4.85114E-13;2.68E-12;1.7152E-12;9.05999E-13;5.7984E-13;3.25E-12;2.08E-12;6.81002E-13;4.35841E-13;1.21E-10;7.744E-11;1.43E-11;9.152E-12;5.54E-12;3.5456E-12;5.01E-11;3.2064E-11;5.28E-11;3.3792E-11;2.14E-11;1.3696E-11;1.27E-10;8.128E-11;1.77E-10;1.1328E-10;2.46952E-13;1.58049E-13;1.72043E-9;1.10108E-9;1.64E-10;1.0496E-10
Mn68;1.01E-14;6.46401E-15;8.37004E-14;5.35683E-14;1.62996E-10;1.04318E-10;1.94E-10;1.2416E-10;2.07029E-9;1.32498E-9;9.38976E-13;6.00945E-13;1.04E-11;6.656E-12;6.65953E-13;4.2621E-13;1.00005E-11;6.40032E-12;8.06009E-12;5.15846E-12;5.04003E-10;3.22562E-10;3.03E-12;1.9392E-12;1.48E-12;9.472E-13;3.09E-12;1.9776E-12;1.57998E-13;1.01119E-13;5.59E-13;3.5776E-13;1.62E-13;1.0368E-13;7.4E-13;4.736E-13;1.01E-13;6.46401E-14;1.41E-11;9.024E-12;3.96E-12;2.5344E-12;5.23E-13;3.3472E-13;1.04E-11;6.65601E-12;8.02E-12;5.1328E-12;3.61001E-12;2.3104E-12;2.56E-11;1.6384E-11;3.95E-11;2.528E-11;9.61812E-14;6.1556E-14;2.25057E-10;1.44036E-10;9.59002E-12;6.13761E-12
Mn69;0.0;0.0;2.14994E-14;1.37596E-14;2.80844E-11;1.7974E-11;1.84993E-11;1.18395E-11;1.38997E-10;8.89582E-11;1.58986E-13;1.01751E-13;1.33992E-12;8.57547E-13;8.02922E-14;5.1387E-14;1.47003E-12;9.40819E-13;1.75997E-12;1.12638E-12;6.02315E-11;3.85481E-11;0.0;0.0;2.00996E-13;1.28637E-13;6.07949E-13;3.89087E-13;2.66978E-14;1.70866E-14;9.76938E-14;6.2524E-14;1.64994E-14;1.05596E-14;1.09995E-13;7.03968E-14;0.0;0.0;1.4099E-12;9.02334E-13;6.56867E-13;4.20395E-13;4.30875E-14;2.7576E-14;1.30971E-12;8.38213E-13;8.71862E-13;5.57992E-13;5.5694E-13;3.56441E-13;3.64958E-12;2.33573E-12;6.32938E-12;4.0508E-12;1.40972E-14;9.02224E-15;2.40013E-11;1.53609E-11;3.69988E-13;2.36792E-13
Mn70;0.0;0.0;0.0;0.0;2.28995E-12;1.46557E-12;9.4E-13;6.016E-13;4.74066E-12;3.03402E-12;1.56996E-14;1.00477E-14;1.19E-13;7.61601E-14;0.0;0.0;9.73049E-14;6.22751E-14;1.17001E-13;7.48809E-14;4.45003E-12;2.84802E-12;9.76E-14;6.2464E-14;1.15E-14;7.36E-15;6.91E-14;4.4224E-14;0.0;0.0;0.0;0.0;0.0;0.0;1.61E-14;1.0304E-14;0.0;0.0;7.63E-14;4.8832E-14;1.04E-13;6.656E-14;0.0;0.0;9.30001E-14;5.952E-14;6.41E-14;4.1024E-14;5.23001E-14;3.34721E-14;3.31E-13;2.1184E-13;7.3E-13;4.672E-13;0.0;0.0;1.43036E-12;9.15431E-13;0.0;0.0
Mn71;0.0;0.0;0.0;0.0;1.73993E-13;1.11356E-13;3.4E-14;2.176E-14;1.4002E-13;8.96125E-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.2199E-13;1.42074E-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.97E-14;1.2608E-14;5.23948E-14;3.35327E-14;0.0;0.0;5.36135E-14;3.43127E-14;0.0;0.0
Mn72;;;1.56155E-17;9.99395E-18;1.66401E-15;1.06497E-15;1.22045E-15;7.81085E-16;4.84916E-15;3.10346E-15;8.21149E-17;5.25535E-17;1.41682E-16;9.06767E-17;6.08289E-18;3.89305E-18;4.04058E-16;2.58597E-16;9.15126E-17;5.85681E-17;1.9449E-15;1.24474E-15;1.58234E-16;1.0127E-16;8.03806E-18;5.14436E-18;2.52296E-16;1.6147E-16;9.07935E-18;5.81079E-18;2.06242E-17;1.31995E-17;1.16781E-18;7.47398E-19;2.82246E-17;1.80637E-17;7.23024E-19;4.62735E-19;1.44116E-16;9.2234E-17;3.08706E-16;1.97572E-16;;;2.55635E-16;1.63606E-16;2.74999E-16;1.75999E-16;1.20934E-16;7.73975E-17;1.17327E-15;7.50891E-16;1.28047E-15;8.19504E-16;;;1.21448E-15;7.7727E-16;3.89464E-18;2.49257E-18
