Product;Th227  Thermal (0.0253 eV);Th227  Thermal (0.0253 eV);Th229  Thermal (0.0253 eV);Th229  Thermal (0.0253 eV);Th232  Fast (500 keV);Th232  Fast (500 keV);Pa231  Fast (500 keV);Pa231  Fast (500 keV);U232  Thermal (0.0253 eV);U232  Thermal (0.0253 eV);U233  Thermal (0.0253 eV);U233  Thermal (0.0253 eV);U234  Fast (500 keV);U234  Fast (500 keV);U235  Thermal (0.0253 eV);U235  Thermal (0.0253 eV);U236  Fast (500 keV);U236  Fast (500 keV);U237  Fast (500 keV);U237  Fast (500 keV);U238  Fast (500 keV);U238  Fast (500 keV);Np237  Fast (500 keV);Np237  Fast (500 keV);Np238  Fast (500 keV);Np238  Fast (500 keV);Pu238  Fast (500 keV);Pu238  Fast (500 keV);Pu239  Thermal (0.0253 eV);Pu239  Thermal (0.0253 eV);Pu240  Thermal (0.0253 eV);Pu240  Thermal (0.0253 eV);Pu241  Thermal (0.0253 eV);Pu241  Thermal (0.0253 eV);Pu242  Thermal (0.0253 eV);Pu242  Thermal (0.0253 eV);Am241  Thermal (0.0253 eV);Am241  Thermal (0.0253 eV);Am242m  Thermal (0.0253 eV);Am242m  Thermal (0.0253 eV);Am243  Fast (500 keV);Am243  Fast (500 keV);Cm242  Fast (500 keV);Cm242  Fast (500 keV);Cm243  Thermal (0.0253 eV);Cm243  Thermal (0.0253 eV);Cm244  Fast (500 keV);Cm244  Fast (500 keV);Cm245  Thermal (0.0253 eV);Cm245  Thermal (0.0253 eV);Cm246  Fast (500 keV);Cm246  Fast (500 keV);Cm248  Fast (500 keV);Cm248  Fast (500 keV);Cf249  Thermal (0.0253 eV);Cf249  Thermal (0.0253 eV);Cf251  Thermal (0.0253 eV);Cf251  Thermal (0.0253 eV);Fm255  Thermal (0.0253 eV);Fm255  Thermal (0.0253 eV)
Product;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error
Zn83;8.55001E-12;5.472E-12;1.25999E-9;8.06392E-10;9.95967E-8;6.37419E-8;5.06E-10;3.2384E-10;2.65037E-11;1.69624E-11;2.56986E-10;1.64471E-10;2.89E-10;1.8496E-10;6.31948E-10;4.04447E-10;2.04004E-9;1.30563E-9;7.81998E-9;5.00478E-9;9.34968E-8;5.98379E-8;1.33994E-9;8.57562E-10;3.80997E-10;2.43838E-10;3.30981E-10;2.11828E-10;4.90994E-11;3.14236E-11;5.87983E-10;3.76309E-10;1.67996E-10;1.07517E-10;4.73986E-9;3.03351E-9;4.55001E-11;2.91201E-11;2.17989E-10;1.39513E-10;1.97973E-9;1.26703E-9;4.37E-11;2.7968E-11;5.68E-10;3.6352E-10;1.85E-10;1.184E-10;8.37945E-10;5.36285E-10;1.29985E-9;8.31905E-10;4.87968E-9;3.12299E-9;1.44972E-10;9.27819E-11;1.8103E-10;1.15859E-10;5.43001E-13;3.47521E-13
Zn84;4.96E-14;3.1744E-14;6.08003E-11;3.89122E-11;3.57989E-9;2.29113E-9;9.08E-12;5.8112E-12;4.75066E-13;3.04042E-13;1.52996E-11;9.79175E-12;6.15E-12;3.936E-12;1.21991E-8;7.80745E-9;6.0403E-11;3.86579E-11;3.12E-10;1.9968E-10;6.55979E-9;4.19827E-9;3.38E-11;2.1632E-11;6.85E-12;4.384E-12;7.39E-12;4.7296E-12;1.02999E-12;6.59192E-13;1.88E-11;1.2032E-11;4.39E-12;2.8096E-12;2.31994E-10;1.48476E-10;1.22E-12;7.80802E-13;5.45E-12;3.488E-12;8.01E-11;5.1264E-11;1.34E-12;8.576E-13;1.82E-11;1.1648E-11;6.12E-12;3.9168E-12;3.04001E-11;1.9456E-11;6.12E-11;3.9168E-11;2.26987E-10;1.45272E-10;8.63831E-12;5.52852E-12;6.76171E-12;4.32749E-12;0.0;0.0
Zn85;8.79752E-16;5.63041E-16;3.67688E-13;2.3532E-13;1.47932E-11;9.46766E-12;1.93495E-13;1.23837E-13;;;2.25382E-13;1.44244E-13;1.68015E-13;1.0753E-13;1.54373E-13;9.87986E-14;6.70437E-13;4.2908E-13;2.26923E-12;1.45231E-12;5.01299E-11;3.20832E-11;1.16501E-12;7.45609E-13;8.77748E-14;5.61759E-14;1.96605E-13;1.25827E-13;2.03671E-14;1.3035E-14;3.41282E-13;2.18421E-13;7.50657E-14;4.8042E-14;2.77805E-12;1.77795E-12;4.40907E-14;2.8218E-14;2.15015E-13;1.3761E-13;4.52997E-12;2.89918E-12;;;9.98814E-13;6.39241E-13;3.94793E-13;2.52667E-13;1.04767E-12;6.70509E-13;2.46044E-12;1.57468E-12;8.01452E-12;5.1293E-12;;;5.31837E-13;3.40376E-13;3.41486E-16;2.18551E-16
Zn86;0.0;0.0;0.0;0.0;5.23988E-13;3.35352E-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.27984E-12;1.4591E-12;0.0;0.0;4.17005E-14;2.66883E-14;3.67002E-12;2.34882E-12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.03E-14;4.4992E-14;0.0;0.0;0.0;0.0;3.74E-14;2.3936E-14;0.0;0.0;0.0;0.0;0.0;0.0;1.24E-14;7.93601E-15;4.57E-14;2.9248E-14;3.19E-13;2.0416E-13;0.0;0.0;0.0;0.0;0.0;0.0
Zn87;;;;;4.7786E-14;3.0583E-14;;;;;;;;;;;;;;;1.76076E-13;1.12689E-13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.87326E-14;6.31889E-14;;;;;;
Ga66;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.53021E-13;9.79337E-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.30974E-14;8.38236E-15;0.0;0.0;0.0;0.0
Ga67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.39131E-12;6.01044E-12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.33E-14;3.4112E-14;0.0;0.0;2.0E-14;1.28E-14;0.0;0.0;0.0;0.0;0.0;0.0;3.03941E-13;1.94522E-13;3.5609E-14;2.27898E-14;5.59001E-14;3.57761E-14
Ga68;0.0;0.0;0.0;0.0;0.0;0.0;3.44E-13;2.2016E-13;3.27046E-10;2.09309E-10;0.0;0.0;2.19E-14;1.4016E-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6E-14;1.024E-14;2.02997E-14;1.29918E-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.03E-13;6.592E-14;1.78E-14;1.1392E-14;1.24E-12;7.936E-13;5.27E-13;3.3728E-13;9.13E-13;5.8432E-13;1.37E-14;8.76802E-15;4.13E-14;2.6432E-14;0.0;0.0;1.31974E-11;8.44635E-12;1.45037E-12;9.28234E-13;2.75001E-12;1.76E-12
Ga69;3.65E-14;2.336E-14;0.0;0.0;0.0;0.0;2.22E-11;1.4208E-11;1.06015E-8;6.78495E-9;3.50991E-13;2.24634E-13;1.82E-12;1.1648E-12;0.0;0.0;1.53008E-14;9.79249E-15;0.0;0.0;1.06001E-14;6.78404E-15;0.0;0.0;1.88E-14;1.2032E-14;1.47E-12;9.408E-13;1.78998E-12;1.14559E-12;6.96E-14;4.4544E-14;2.62E-13;1.6768E-13;0.0;0.0;2.50001E-13;1.6E-13;5.27E-12;3.3728E-12;7.92E-13;5.0688E-13;2.2E-11;1.408E-11;2.23E-11;1.4272E-11;2.97E-11;1.9008E-11;8.61001E-13;5.51041E-13;2.01E-12;1.2864E-12;8.81E-14;5.6384E-14;1.90963E-10;1.22216E-10;4.14105E-11;2.65027E-11;8.88002E-11;5.68321E-11
Ga70;1.84E-12;1.1776E-12;2.17001E-13;1.38881E-13;8.43981E-14;5.40148E-14;9.09E-10;5.8176E-10;1.76025E-7;1.12656E-7;2.19994E-11;1.40796E-11;1.05E-10;6.72E-11;1.4699E-13;9.40734E-14;9.64048E-13;6.16991E-13;1.30001E-13;8.32009E-14;4.02003E-13;2.57282E-13;1.33E-11;8.512E-12;1.45E-12;9.28E-13;7.87E-11;5.0368E-11;7.7699E-11;4.97274E-11;4.42E-12;2.8288E-12;1.8E-11;1.152E-11;9.55E-14;6.112E-14;1.37E-11;8.76802E-12;1.46E-10;9.344E-11;3.38E-11;2.1632E-11;4.34E-10;2.7776E-10;4.59E-10;2.9376E-10;6.57E-10;4.2048E-10;3.30001E-11;2.112E-11;6.23E-11;3.9872E-11;3.67E-12;2.3488E-12;4.05921E-9;2.59789E-9;7.68194E-10;4.91644E-10;1.86E-9;1.1904E-9
Ga71;1.3E-10;8.32001E-11;2.99002E-11;1.91361E-11;8.6598E-12;5.54227E-12;2.26E-8;1.4464E-8;2.20031E-6;1.4082E-6;1.54996E-9;9.91975E-10;4.17E-9;2.6688E-9;9.38934E-12;6.00918E-12;5.61028E-11;3.59058E-11;8.30009E-12;5.31206E-12;1.03001E-11;6.59204E-12;4.23E-10;2.7072E-10;8.11E-11;5.1904E-11;2.65E-9;1.696E-9;1.35998E-9;8.70389E-10;1.21E-10;7.744E-11;7.73999E-10;4.9536E-10;3.01E-12;1.9264E-12;2.02E-10;1.2928E-10;3.15E-9;2.016E-9;4.81E-10;3.0784E-10;4.42E-9;2.8288E-9;7.39001E-9;4.7296E-9;1.01E-8;6.464E-9;8.10001E-10;5.18401E-10;1.28E-9;8.192E-10;1.12E-10;7.168E-11;2.95942E-8;1.89403E-8;9.03228E-9;5.78066E-9;2.43001E-8;1.5552E-8
Ga72;1.855E-9;1.1872E-9;5.95003E-10;3.80802E-10;2.29495E-10;1.46877E-10;1.685E-7;1.0784E-7;7.146E-6;4.57344E-6;1.33497E-8;8.54379E-9;1.865E-8;1.1936E-8;1.92986E-10;1.23511E-10;1.22506E-9;7.84039E-10;1.09001E-10;6.97608E-11;9.30006E-11;5.95204E-11;4.26E-9;2.7264E-9;1.825E-9;1.168E-9;2.01E-8;1.2864E-8;1.19499E-8;7.647909E-9;1.53E-9;9.792E-10;1.3E-9;8.31999E-10;6.35E-11;4.064E-11;9.55002E-10;6.11201E-10;2.8E-8;1.792E-8;3.01E-9;1.9264E-9;2.065E-8;1.3216E-8;4.435E-8;2.8384E-8;5.1E-8;3.264E-8;4.99501E-9;3.19681E-9;9.5E-9;6.08E-9;1.09E-9;6.976E-10;6.6487E-8;4.25517E-8;4.04602E-8;2.58945E-8;9.85002E-8;6.30401E-8
Ga72m;1.855E-9;1.1872E-9;5.95003E-10;3.80802E-10;2.29495E-10;1.46877E-10;1.685E-7;1.0784E-7;7.146E-6;4.57344E-6;1.33497E-8;8.54379E-9;1.865E-8;1.1936E-8;1.92986E-10;1.23511E-10;1.22506E-9;7.84039E-10;1.09001E-10;6.97608E-11;9.30006E-11;5.95204E-11;4.26E-9;2.7264E-9;1.825E-9;1.168E-9;2.01E-8;1.2864E-8;1.19499E-8;7.647909E-9;1.53E-9;9.792E-10;1.3E-9;8.31999E-10;6.35E-11;4.064E-11;9.55002E-10;6.11201E-10;2.8E-8;1.792E-8;3.01E-9;1.9264E-9;2.065E-8;1.3216E-8;4.435E-8;2.8384E-8;5.1E-8;3.264E-8;4.99501E-9;3.19681E-9;9.5E-9;6.08E-9;1.09E-9;6.976E-10;6.6487E-8;4.25517E-8;4.04602E-8;2.58945E-8;9.85002E-8;6.30401E-8
Ga73;4.27E-8;2.7328E-8;3.66002E-8;2.34241E-8;9.22979E-9;5.90707E-9;3.64E-6;2.3296E-6;8.00812E-5;5.1252E-5;4.21989E-7;2.70073E-7;3.64E-7;2.3296E-7;1.20991E-8;7.74345E-9;8.49042E-8;5.43387E-8;1.41002E-8;9.0241E-9;6.16004E-9;3.94243E-9;1.15E-7;7.36E-8;5.22E-8;3.3408E-8;2.12E-7;1.3568E-7;2.20997E-7;1.41438E-7;4.46E-8;2.8544E-8;2.87E-8;1.8368E-8;2.93E-9;1.8752E-9;3.25001E-8;2.08E-8;5.28E-7;3.3792E-7;6.27E-8;4.0128E-8;3.73E-7;2.3872E-7;5.92E-7;3.7888E-7;7.14E-7;4.5696E-7;9.65002E-8;6.17601E-8;1.73E-7;1.1072E-7;2.77E-8;1.7728E-8;6.55872E-7;4.19758E-7;5.00126E-7;3.20081E-7;1.02E-6;6.52801E-7
Ga74;1.285E-7;8.22401E-8;1.82001E-7;1.16481E-7;6.09986E-8;3.90391E-8;1.212E-5;7.7568E-6;1.1054E-4;7.07459E-5;1.27997E-6;8.19179E-7;2.025E-6;1.296E-6;7.29948E-8;4.67167E-8;7.40037E-7;4.73624E-7;1.14501E-7;7.32808E-8;2.53002E-8;1.61921E-8;3.805E-7;2.4352E-7;2.585E-7;1.6544E-7;8.05E-7;5.152E-7;6.19992E-7;3.96795E-7;1.42E-7;9.088E-8;7.39999E-8;4.736E-8;1.725E-8;1.104E-8;1.04E-7;6.65601E-8;1.51E-6;9.664E-7;2.165E-7;1.3856E-7;7.25E-7;4.64E-7;1.88E-6;1.2032E-6;1.68E-6;1.0752E-6;3.21001E-7;2.0544E-7;5.55E-7;3.552E-7;1.13E-7;7.232E-8;1.05479E-6;6.75068E-7;9.80247E-7;6.27358E-7;1.875E-6;1.2E-6
Ga74m;1.285E-7;8.22401E-8;1.82001E-7;1.16481E-7;6.09986E-8;3.90391E-8;1.212E-5;7.7568E-6;1.1054E-4;7.07459E-5;1.27997E-6;8.19179E-7;2.025E-6;1.296E-6;7.29948E-8;4.67167E-8;7.40037E-7;4.73624E-7;1.14501E-7;7.32808E-8;2.53002E-8;1.61921E-8;3.805E-7;2.4352E-7;2.585E-7;1.6544E-7;8.05E-7;5.152E-7;6.19992E-7;3.96795E-7;1.42E-7;9.088E-8;7.39999E-8;4.736E-8;1.725E-8;1.104E-8;1.04E-7;6.65601E-8;1.51E-6;9.664E-7;2.165E-7;1.3856E-7;7.25E-7;4.64E-7;1.88E-6;1.2032E-6;1.68E-6;1.0752E-6;3.21001E-7;2.0544E-7;5.55E-7;3.552E-7;1.13E-7;7.232E-8;1.05479E-6;6.75068E-7;9.80247E-7;6.27358E-7;1.875E-6;1.2E-6
Ga75;2.81E-6;1.7984E-6;5.03003E-6;3.21922E-6;1.60996E-6;1.03038E-6;1.1035E-4;7.0624E-5;6.16496E-4;3.94557E-4;2.24394E-5;1.43612E-5;3.317E-5;2.12288E-5;1.92986E-6;1.23511E-6;1.42007E-5;9.08845E-6;3.12004E-6;1.99682E-6;3.52002E-7;2.25281E-7;3.81E-6;2.4384E-6;7.06E-6;4.5184E-6;7.74E-6;4.9536E-6;5.82993E-6;3.73115E-6;2.39E-6;1.5296E-6;9.88999E-7;6.3296E-7;2.96E-7;1.8944E-7;1.13E-6;7.23202E-7;1.092E-5;6.9888E-6;2.36E-6;1.5104E-6;4.82E-6;3.0848E-6;1.795E-5;1.1488E-5;1.168E-5;7.4752E-6;2.51E-6;1.6064E-6;4.83E-6;3.0912E-6;1.33E-6;8.512E-7;5.47893E-6;3.50651E-6;6.21157E-6;3.9754E-6;8.22002E-6;5.26081E-6
Ga76;8.51001E-6;5.4464E-6;2.56801E-5;1.64353E-5;1.10398E-5;7.06544E-6;3.3841E-4;2.16582E-4;8.29546E-4;5.30909E-4;5.45286E-5;3.48983E-5;1.1113E-4;7.11233E-5;1.04593E-5;6.69393E-6;7.42837E-5;4.75416E-5;1.59002E-5;1.01761E-5;1.61001E-6;1.03041E-6;3.034E-5;1.94176E-5;2.552E-5;1.63328E-5;3.68E-5;2.3552E-5;1.53998E-5;9.855879E-6;7.77E-6;4.9728E-6;5.16E-6;3.3024E-6;1.29E-6;8.256E-7;3.19001E-6;2.0416E-6;3.307E-5;2.11648E-5;6.84E-6;4.3776E-6;7.6E-6;4.864E-6;4.734E-5;3.02976E-5;2.727E-5;1.74528E-5;1.048E-5;6.70721E-6;1.511E-5;9.6704E-6;5.08E-6;3.2512E-6;8.55833E-6;5.47733E-6;1.26432E-5;8.09164E-6;1.38E-5;8.83202E-6
Ga77;4.343E-5;2.77952E-5;1.62241E-4;1.03834E-4;4.74689E-5;3.03801E-5;6.2046E-4;3.97094E-4;9.81117E-4;6.27915E-4;1.37927E-4;8.8273E-5;3.0802E-4;1.97133E-4;4.08171E-5;2.6123E-5;2.45732E-4;1.57269E-4;8.29509E-5;5.30886E-5;1.39701E-5;8.94086E-6;6.477E-5;4.14528E-5;9.427E-5;6.03328E-5;1.1682E-4;7.47648E-5;3.78495E-5;2.42237E-5;3.365E-5;2.1536E-5;1.107E-5;7.08479E-6;1.44E-5;9.216E-6;1.968E-5;1.25952E-5;5.945E-5;3.8048E-5;1.726E-5;1.10464E-5;2.149E-5;1.37536E-5;9.57601E-5;6.12864E-5;4.51E-5;2.8864E-5;3.03801E-5;1.94432E-5;3.176E-5;2.03264E-5;1.438E-5;9.2032E-6;1.77665E-5;1.13706E-5;2.00551E-5;1.28352E-5;1.539E-5;9.84962E-6
Ga78;4.486E-5;2.87104E-5;6.80854E-4;4.35746E-4;1.94576E-4;1.24528E-4;9.0325E-4;5.7808E-4;5.86542E-4;3.75387E-4;1.70546E-4;1.09149E-4;2.8473E-4;1.82227E-4;1.02813E-4;6.58001E-5;2.66003E-4;1.70242E-4;2.40243E-4;1.53755E-4;6.31504E-5;4.04163E-5;1.3155E-4;8.4192E-5;1.7985E-4;1.15104E-4;1.3369E-4;8.55616E-5;5.51193E-5;3.52764E-5;7.17E-5;4.5888E-5;4.929E-5;3.15456E-5;3.5E-5;2.24E-5;2.74601E-5;1.75744E-5;8.828E-5;5.64992E-5;2.442E-5;1.56288E-5;3.026E-5;1.93664E-5;1.0571E-4;6.76545E-5;5.121E-5;3.27744E-5;4.69001E-5;3.00161E-5;4.844E-5;3.10016E-5;2.785E-5;1.7824E-5;1.37073E-5;8.77268E-6;2.25357E-5;1.44228E-5;1.21E-5;7.74402E-6
Ga79;4.0211E-4;2.57351E-4;7.36684E-4;4.71478E-4;4.324E-4;2.76736E-4;8.8523E-4;5.66547E-4;3.09173E-4;1.97871E-4;1.88415E-4;1.20586E-4;2.5212E-4;1.61357E-4;1.71078E-4;1.88186E-5;3.52348E-4;2.25502E-4;3.24254E-4;2.07522E-4;1.83731E-4;1.17588E-4;1.8707E-4;1.19725E-4;2.1344E-4;1.36602E-4;1.375E-4;8.8E-5;5.49293E-5;3.51548E-5;4.084E-5;2.61376E-5;3.271E-5;2.09344E-5;3.125E-5;2.0E-5;2.096E-5;1.34144E-5;7.13E-5;4.5632E-5;5.523E-5;3.53472E-5;2.696E-5;1.72544E-5;9.18801E-5;5.88032E-5;4.138E-5;2.64832E-5;5.36901E-5;3.43617E-5;5.061E-5;3.23904E-5;3.679E-5;2.35456E-5;1.62268E-5;1.03852E-5;1.64241E-5;1.05115E-5;6.02001E-6;3.85281E-6
Ga80;1.8272E-4;1.16941E-4;3.38462E-4;2.16616E-4;5.80267E-4;3.71371E-4;5.0182E-4;3.21165E-4;8.39517E-5;5.37291E-5;7.52381E-5;4.81524E-5;1.0204E-4;6.53056E-5;1.17062E-4;1.87299E-5;2.0489E-4;1.3113E-4;2.35313E-4;1.506E-4;1.46571E-4;9.38054E-5;1.5689E-4;1.0041E-4;1.4878E-4;9.52192E-5;7.496E-5;4.79744E-5;3.62596E-5;2.32061E-5;3.458E-5;2.21312E-5;2.306E-5;1.47584E-5;3.833E-5;2.45312E-5;1.189E-5;7.60962E-6;4.078E-5;2.60992E-5;4.809E-5;3.07776E-5;1.253E-5;8.0192E-6;5.199E-5;3.32736E-5;2.242E-5;1.43488E-5;3.62001E-5;2.3168E-5;3.711E-5;2.37504E-5;3.469E-5;2.22016E-5;7.1386E-6;4.56871E-6;9.80247E-6;6.27358E-6;2.16E-6;1.3824E-6
Ga81;6.76101E-5;4.32704E-5;2.75971E-4;1.76622E-4;6.57445E-4;4.20765E-4;1.4615E-4;9.3536E-5;1.72724E-5;1.10543E-5;3.8389E-5;2.4569E-5;4.299E-5;2.75136E-5;8.17742E-5;2.61678E-5;1.00675E-4;6.4432E-5;1.50462E-4;9.62955E-5;1.47941E-4;9.46822E-5;8.779E-5;5.61856E-5;6.552E-5;4.19328E-5;3.27E-5;2.0928E-5;1.51098E-5;9.670279E-6;3.033E-5;1.94112E-5;1.232E-5;7.88479E-6;3.15E-5;2.016E-5;4.94001E-6;3.16161E-6;1.335E-5;8.544E-6;2.525E-5;1.616E-5;4.68E-6;2.9952E-6;2.368E-5;1.51552E-5;8.74E-6;5.5936E-6;1.825E-5;1.168E-5;1.828E-5;1.16992E-5;2.297E-5;1.47008E-5;3.11939E-6;1.99641E-6;3.80096E-6;2.43261E-6;4.91001E-7;3.14241E-7
Ga82;4.44E-6;2.8416E-6;5.92403E-5;3.79138E-5;3.22263E-4;2.06248E-4;3.148E-5;2.01472E-5;1.87026E-6;1.19697E-6;1.13297E-5;7.25102E-6;8.23001E-6;5.2672E-6;6.26156E-5;4.0074E-5;2.30912E-5;1.47783E-5;4.31205E-5;2.75971E-5;1.13161E-4;7.24229E-5;2.188E-5;1.40032E-5;1.365E-5;8.736E-6;6.46E-6;4.1344E-6;2.01998E-6;1.29278E-6;5.54E-6;3.5456E-6;4.2E-6;2.688E-6;1.099E-5;7.0336E-6;9.32002E-7;5.96481E-7;3.49E-6;2.2336E-6;8.28E-6;5.2992E-6;8.89E-7;5.6896E-7;5.98E-6;3.8272E-6;2.12E-6;1.3568E-6;5.54001E-6;3.54561E-6;6.4E-6;4.096E-6;9.85E-6;6.304E-6;7.38855E-7;4.72868E-7;1.05027E-6;6.7217E-7;6.58001E-8;4.21121E-8
Ga83;2.32E-7;1.4848E-7;2.42001E-6;1.54881E-6;1.06668E-4;6.82673E-5;2.88E-6;1.8432E-6;1.63023E-7;1.04335E-7;7.8098E-7;4.99827E-7;1.16E-6;7.42401E-7;1.91986E-6;1.22871E-6;3.87019E-6;2.47692E-6;9.72011E-6;6.22087E-6;3.93803E-5;2.52034E-5;2.83E-6;1.8112E-6;1.92E-6;1.2288E-6;7.99E-7;5.1136E-7;2.28997E-7;1.46558E-7;1.22E-6;7.808E-7;5.87E-7;3.7568E-7;4.29E-6;2.7456E-6;2.26001E-7;1.4464E-7;6.87E-7;4.3968E-7;1.95E-6;1.248E-6;1.18E-7;7.552E-8;1.0E-6;6.4E-7;3.71E-7;2.3744E-7;1.29E-6;8.25601E-7;1.35E-6;8.64E-7;2.92E-6;1.8688E-6;1.94962E-7;1.24776E-7;2.15054E-7;1.37635E-7;5.83001E-9;3.73121E-9
Ga84;3.4E-9;2.176E-9;2.76001E-7;1.76641E-7;1.30097E-5;8.32621E-6;1.96E-7;1.2544E-7;7.24101E-9;4.63425E-9;1.18997E-7;7.61581E-8;6.76E-8;4.3264E-8;1.10672E-4;7.08302E-5;3.38017E-7;2.16331E-7;1.15001E-6;7.36008E-7;8.60006E-6;5.50404E-6;2.49E-7;1.5936E-7;1.45E-7;9.28E-8;5.29E-8;3.3856E-8;1.34998E-8;8.639889E-9;1.12E-7;7.168E-8;5.47E-8;3.5008E-8;6.2E-7;3.968E-7;1.96E-8;1.2544E-8;5.75E-8;3.68E-8;2.29E-7;1.4656E-7;9.81E-9;6.2784E-9;8.54001E-8;5.4656E-8;3.44E-8;2.2016E-8;1.3E-7;8.32001E-8;1.83E-7;1.1712E-7;4.07E-7;2.6048E-7;1.94962E-8;1.24776E-8;2.28058E-8;1.45957E-8;2.81001E-10;1.7984E-10
Ga85;9.41992E-11;6.02875E-11;1.08997E-8;6.9758E-9;9.24964E-7;5.91977E-7;5.00981E-9;3.20628E-9;3.11043E-10;1.99068E-10;3.51969E-9;2.2526E-9;2.68983E-9;1.72149E-9;5.87943E-9;3.76284E-9;2.24004E-8;1.43363E-8;7.26986E-8;4.65271E-8;9.64956E-7;6.17572E-7;1.16988E-8;7.48725E-9;4.49991E-9;2.87994E-9;2.3398E-9;1.49747E-9;2.85976E-10;1.83025E-10;5.32966E-9;3.41098E-9;2.12992E-9;1.36315E-9;6.09972E-8;3.90382E-8;7.91958E-10;5.06853E-10;2.91978E-9;1.86866E-9;2.22955E-8;1.42691E-8;4.64E-10;2.9696E-10;4.469E-9;2.86016E-9;2.49961E-9;1.59975E-9;9.52897E-9;6.09854E-9;2.15975E-8;1.38224E-8;8.1192E-8;5.19629E-8;2.0696E-9;1.32454E-9;2.70015E-9;1.7281E-9;1.00997E-11;6.46379E-12
Ga86;5.76E-13;3.6864E-13;2.07001E-10;1.32481E-10;3.17993E-8;2.03515E-8;6.97E-11;4.4608E-11;6.21087E-12;3.97495E-12;1.21997E-10;7.8078E-11;5.82E-11;3.7248E-11;3.27977E-7;2.09905E-7;5.10025E-10;3.26416E-10;2.29003E-9;1.46562E-9;5.74004E-8;3.67362E-8;3.65E-10;2.336E-10;1.05E-10;6.72E-11;6.01E-11;3.8464E-11;1.17999E-11;7.55191E-12;1.53E-10;9.792E-11;6.18E-11;3.9552E-11;2.32E-9;1.4848E-9;2.13E-11;1.3632E-11;7.54E-11;4.8256E-11;9.61E-10;6.1504E-10;1.23E-11;7.872E-12;1.95E-10;1.248E-10;9.87E-11;6.3168E-11;4.90001E-10;3.13601E-10;1.18E-9;7.552E-10;5.13E-9;3.2832E-9;1.0098E-10;6.46274E-11;1.35034E-10;8.64218E-11;1.78E-13;1.1392E-13
Ga87;1.10317E-14;7.0603E-15;2.07868E-12;1.33036E-12;2.98788E-9;1.91224E-9;1.23589E-12;7.90972E-13;;;1.03449E-12;6.62076E-13;9.63554E-13;6.16675E-13;2.54114E-10;1.62633E-10;1.00865E-11;6.45535E-12;1.26253E-11;8.0802E-12;3.3893E-9;2.16915E-9;4.97433E-12;3.18357E-12;4.31009E-13;2.75846E-13;1.43456E-12;9.18119E-13;4.48879E-13;2.87283E-13;1.77511E-12;1.13607E-12;7.4551E-13;4.77127E-13;1.75301E-11;1.12193E-11;5.20976E-13;3.33424E-13;1.22248E-12;7.82385E-13;1.83592E-11;1.17499E-11;;;5.54545E-12;3.54909E-12;3.44007E-12;2.20165E-12;7.94081E-12;5.08212E-12;2.47183E-11;1.58197E-11;1.00022E-9;6.40142E-10;8.50639E-12;5.44409E-12;2.25185E-12;1.44118E-12;3.26288E-15;2.08824E-15
Ga88;;;2.04737E-14;1.31032E-14;3.228E-12;2.06592E-12;;;;;2.23758E-14;1.43205E-14;;;4.42392E-12;2.83131E-12;4.63919E-13;2.96908E-13;6.21858E-13;3.97989E-13;1.56421E-11;1.0011E-11;1.35582E-13;8.67725E-14;9.00263E-15;5.76168E-15;;;;;5.8474E-14;3.74234E-14;2.57154E-14;1.64578E-14;8.07896E-13;5.17053E-13;1.30871E-14;8.37577E-15;4.027E-14;2.57728E-14;9.83235E-13;6.29271E-13;;;1.84666E-13;1.18186E-13;;;3.8526E-13;2.46566E-13;1.72003E-12;1.10082E-12;3.8911E-12;2.4903E-12;;;1.22747E-13;7.85583E-14;;
