76,60017,0.32,0,0,7283860,0,0.193,0.013,0,C17,beta- n
77,60018,0.685,0,0,11811710,0,0.092,0.002,0,C18,beta-
78,60018,0.315,0,0,8983490,0,0.092,0.002,0,C18,beta- n
79,60019,0.39,0,0,16557100,0,0.049,0.004,0,C19,beta-
80,60019,0.61,0,0,11234880,0,0.049,0.004,0,C19,beta- n
81,60020,0.28,0,0,15792500,0,0.0145,0.0055,0,C20,beta-
82,60020,0.72,0,0,13624160,0,0.0145,0.0055,0,C20,beta- n
83,60021,1,0,0,331000,0,3E-08,0,0,C21,n
84,60022,0.02,0,0,20097000,0,0.0062,0.0013,0,C22,beta-
85,60022,0.61,0,0,19959000,0,0.0062,0.0013,0,C22,beta- n
86,60022,0.37,0,0,14228260,0,0.0062,0.0013,0,C22,beta- n n
87,70010,1,0,0,2601730,0,2E-22,0,0,N10,p
88,70011,1,0,0,1635920,0,3.12742E-22,0,0,N11,p
89,70012,1,1000,0,17338100,1000,0.011,1.6E-05,0,N12,ec/beta+
90,70013,1,300,0,2220500,300,597.9,0.24,0,N13,ec/beta+
91,70014,NA,NA,NA,NA,NA,NA,NA,0,N14,stable
92,70015,NA,NA,NA,NA,NA,NA,NA,0,N15,stable
93,70016,0.999988,2300,0,10419100,2300,7.13,0.02,0,N16,beta-
94,70016,1.2E-05,2620,0,3258740,2620,7.13,0.02,0,N16,beta- alpha
95,70017,0.049,15000,0,8679000,15000,4.171,0.003,0,N17,beta-
96,70017,0.951,15000,0,4536000,15000,4.171,0.003,0,N17,beta- n
97,70018,0.735,0,0,13895990,0,0.624,0.012,0,N18,beta-
98,70018,0.122,0,0,7669656,0,0.624,0.012,0,N18,beta- alpha
99,70018,0.143,0,0,5851960,0,0.624,0.012,0,N18,beta- n
100,70019,0.454,0,0,12523400,0,0.271,0.008,0,N19,beta-
101,70019,0.546,0,0,8572330,0,0.271,0.008,0,N19,beta- n
102,70020,0.43,0,0,17968940,0,0.13,0.007,0,N20,beta-
103,70020,0.57,0,0,10358920,0,0.13,0.007,0,N20,beta- n
104,70021,0.19,0,0,17189190,0,0.085,0.007,0,N21,beta-
105,70021,0.81,0,0,13382390,0,0.085,0.007,0,N21,beta- n
106,70022,0.51,0,0,22757070,0,0.024,0.005,0,N22,beta-
107,70022,0.36,0,0,15904450,0,0.024,0.005,0,N22,beta- n
108,70022,0.13,0,0,12099870,0,0.024,0.005,0,N22,beta- n n
109,70023,1,0,0,23822000,0,0.0145,0.0014,0,N23,beta-
110,70024,1,0,0,1029000,0,5.2E-08,0,0,N24,n
111,70025,1,0,0,890000,0,2.6E-07,0,0,N25,n
112,80012,1,0,0,455410,0,1.13925E-21,7.12031E-22,0,O12,p
113,80013,1,0,0,15823460,0,0.00858,5E-05,0,O13,ec/beta+ p
114,80014,1,70,0,5143040,70,70.606,0.018,0,O14,ec/beta+
115,80015,1,500,0,2754200,500,122.24,0.16,0,O15,ec/beta+
116,80016,NA,NA,NA,NA,NA,NA,NA,0,O16,stable
117,80017,NA,NA,NA,NA,NA,NA,NA,0,O17,stable
118,80018,NA,NA,NA,NA,NA,NA,NA,0,O18,stable
119,80019,1,2900,0,4819600,2900,26.88,0.05,0,O19,beta-
120,80020,1,2100,0,3814300,2100,13.51,0.05,0,O20,beta-
121,80021,1,12000,0,8110000,12000,3.42,0.1,0,O21,beta-
122,80022,0.78,0,0,6488226,0,2.25,0.09,0,O22,beta-
123,80022,0.22,0,0,1260390,0,2.25,0.09,0,O22,beta- n
124,80023,0.69,0,0,11311060,0,0.0905,0.0365,0,O23,beta-
125,80023,0.31,0,0,3748270,0,0.0905,0.0365,0,O23,beta- n
126,80024,0.42,0,0,10940880,0,0.065,0.005,0,O24,beta-
127,80024,0.58,0,0,7669340,0,0.065,0.005,0,O24,beta- n
128,80025,1,0,0,776000,0,5E-08,0,0,O25,n
129,80026,1,0,0,282000,0,4E-08,0,0,O26,n
130,80027,1,0,0,883000,0,2.6E-07,0,0,O27,n
131,80028,1,0,0,731000,0,1E-07,0,0,O28,n
132,90014,1,0,0,1560000,0,5.0007E-22,5.49535E-23,0,F14,p
133,90015,1,0,0,1516490,0,4.557E-22,9.114E-23,0,F15,p
134,90016,1,0,0,535680,0,1.13925E-20,5.69625E-21,0,F16,p
135,90017,1,500,0,2760800,500,64.49,0.16,0,F17,ec/beta+
136,90018,1,600,0,1655300,600,6586.2,3,0,F18,ec/beta+
137,90019,NA,NA,NA,NA,NA,NA,NA,0,F19,stable
138,90020,1,80,0,7024530,80,11.163,0.008,0,F20,beta-
139,90021,1,1800,0,5684200,1800,4.158,0.02,0,F21,beta-
140,90022,1,12000,0,10818000,12000,4.23,0.04,0,F22,beta-
141,90023,1,0,0,8483792,0,2.23,0.14,0,F23,beta-
142,90024,0.941,0,0,13511170,0,0.39,0.07,0,F24,beta-
143,90024,0.059,0,0,4642250,0,0.39,0.07,0,F24,beta- n
144,90025,0.86,0,0,13423310,0,0.05,0.006,0,F25,beta-
145,90025,0.14,0,0,9152910,0,0.05,0.006,0,F25,beta- n
146,90026,0.89,0,0,18185620,0,0.0096,0.0008,0,F26,beta-
147,90026,0.11,0,0,12308530,0,0.0096,0.0008,0,F26,beta- n
148,90027,0.23,0,0,17593810,0,0.005,0.0002,0,F27,beta-
149,90027,0.77,0,0,16425930,0,0.005,0.0002,0,F27,beta- n
150,90028,1,0,0,21800000,0,4E-08,0,0,F28,beta-
151,90029,1,0,0,20981000,0,0.0025,0.0004,0,F29,beta- n
152,90030,1,0,0,377000,0,2.6E-07,0,0,F30,n
153,90031,0.5,0,0,25124000,0,2.5E-07,0,0,F31,beta-
154,90031,0.5,0,0,25116000,0,2.5E-07,0,0,F31,beta- n
155,100016,1,20000,0,1411000,20000,3.73524E-21,1.13282E-21,0,Ne16,p p
156,100017,1,0,0,13908930,0,0.1092,0.0006,0,Ne17,ec/beta+ p
157,100018,1,4700,0,4445700,4700,1.672,0.008,0,Ne18,ec/beta+
158,100019,1,600,0,3238400,600,17.22,0.02,0,Ne19,ec/beta+
159,100020,NA,NA,NA,NA,NA,NA,NA,0,Ne20,stable
160,100021,NA,NA,NA,NA,NA,NA,NA,0,Ne21,stable
161,100022,NA,NA,NA,NA,NA,NA,NA,0,Ne22,stable
162,100023,1,100,0,4375810,100,37.24,0.12,0,Ne23,beta-
163,100024,1,400.0008,1,1994393,400.0008,202.8,1.2,0,Ne24,beta-
164,100025,1,30000,0,7250000,30000,0.602,0.008,0,Ne25,beta-
165,100026,0.9987,19000,0,7340000,19000,0.197,0.001,0,Ne26,beta-
166,100026,0.0013,18000,0,1766000,18000,0.197,0.001,0,Ne26,beta- n
167,100027,0.98,0,0,12553460,0,0.032,0.002,0,Ne27,beta-
168,100027,0.02,0,0,5860950,0,0.032,0.002,0,Ne27,beta- n
169,100028,0.845,0,0,12279880,0,0.0189,0.0004,0,Ne28,beta-
170,100028,0.119,0,0,8690720,0,0.0189,0.0004,0,Ne28,beta- n
171,100028,0.036,0,0,1965000,0,0.0189,0.0004,0,Ne28,beta- n n
172,100029,0.68,0,0,15730140,0,0.0148,0.0003,0,Ne29,beta-
173,100029,0.28,0,0,10975810,0,0.0148,0.0003,0,Ne29,beta- n
174,100029,0.04,0,0,7774799,0,0.0148,0.0003,0,Ne29,beta- n n
175,100030,0.781,0,0,14665440,0,0.0073,0.0003,0,Ne30,beta-
176,100030,0.13,0,0,12365700,0,0.0073,0.0003,0,Ne30,beta- n
177,100030,0.089,0,0,7885252,0,0.0073,0.0003,0,Ne30,beta- n n
178,100031,1,0,0,18280760,0,0.0034,0.0008,0,Ne31,beta-
179,100032,1,0,0,18189000,0,0.0035,0.0009,0,Ne32,beta-
180,100033,1,0,0,927000,0,1.8E-07,0,0,Ne33,n
181,100034,0.5,0,0,21553000,0,6E-08,0,0,Ne34,beta-
182,100034,0.5,0,0,20160000,0,6E-08,0,0,Ne34,beta- n
183,110018,1,0,0,1251000,0,1.3E-21,4E-22,0,Na18,p
